timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671634811520,1585,post-register,201,Created,NormalTest 1-6,text,true,,574,901,21,21,https://market-final-project.herokuapp.com/auth/register,1583,0,1024
1671634811321,1784,post-register,201,Created,NormalTest 1-4,text,true,,574,916,21,21,https://market-final-project.herokuapp.com/auth/register,1782,0,1215
1671634811220,1901,post-register,201,Created,NormalTest 1-3,text,true,,574,876,22,22,https://market-final-project.herokuapp.com/auth/register,1901,0,1340
1671634811121,2046,post-register,201,Created,NormalTest 1-2,text,false,"The operation lasted too long: It took 2,046 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,866,22,22,https://market-final-project.herokuapp.com/auth/register,2046,0,1636
1671634811819,1483,post-register,201,Created,NormalTest 1-9,text,true,,574,901,23,23,https://market-final-project.herokuapp.com/auth/register,1483,0,1063
1671634812119,1197,post-register,201,Created,NormalTest 1-12,text,true,,574,866,23,23,https://market-final-project.herokuapp.com/auth/register,1197,0,823
1671634811619,1810,post-register,201,Created,NormalTest 1-7,text,true,,574,896,25,25,https://market-final-project.herokuapp.com/auth/register,1810,0,994
1671634811720,1715,post-register,201,Created,NormalTest 1-8,text,true,,574,881,25,25,https://market-final-project.herokuapp.com/auth/register,1715,0,979
1671634811420,2019,post-register,201,Created,NormalTest 1-5,text,false,"The operation lasted too long: It took 2,019 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,881,25,25,https://market-final-project.herokuapp.com/auth/register,2019,0,1155
1671634813129,347,post login,201,Created,NormalTest 1-3,text,true,,525,388,25,25,https://market-final-project.herokuapp.com/auth/login,347,0,0
1671634811098,2406,post-register,201,Created,NormalTest 1-1,text,false,"The operation lasted too long: It took 2,406 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,911,25,25,https://market-final-project.herokuapp.com/auth/register,2406,0,1600
1671634813129,405,post login,201,Created,NormalTest 1-6,text,true,,525,388,26,26,https://market-final-project.herokuapp.com/auth/login,405,0,0
1671634813129,442,post login,201,Created,NormalTest 1-4,text,true,,525,388,26,26,https://market-final-project.herokuapp.com/auth/login,442,0,0
1671634812019,1617,post-register,201,Created,NormalTest 1-11,text,true,,574,886,27,27,https://market-final-project.herokuapp.com/auth/register,1617,0,836
1671634813316,417,post login,201,Created,NormalTest 1-12,text,true,,525,388,28,28,https://market-final-project.herokuapp.com/auth/login,417,0,0
1671634812219,1534,post-register,201,Created,NormalTest 1-13,text,true,,574,891,28,28,https://market-final-project.herokuapp.com/auth/register,1534,0,991
1671634813168,641,post login,201,Created,NormalTest 1-2,text,true,,525,388,28,28,https://market-final-project.herokuapp.com/auth/login,641,0,0
1671634813440,381,post login,201,Created,NormalTest 1-5,text,true,,525,388,29,29,https://market-final-project.herokuapp.com/auth/login,381,0,0
1671634811919,1921,post-register,201,Created,NormalTest 1-10,text,true,,574,866,29,29,https://market-final-project.herokuapp.com/auth/register,1921,0,1009
1671634813303,643,post login,201,Created,NormalTest 1-9,text,true,,525,388,30,30,https://market-final-project.herokuapp.com/auth/login,643,0,0
1671634813429,559,post login,201,Created,NormalTest 1-7,text,true,,525,388,30,30,https://market-final-project.herokuapp.com/auth/login,559,0,0
